Location,School Management,School Category,Academic Qualification,Professional Qualification,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Female,Male,Total,Female,Male,Female,Male,Total
All India,Government Aided,SS (I-X),,Pursuing any relevant professional course,0,0,0,0,0,0,0,1,5,0,8,1,13,14,3,5,2,1,5,14,10,1,13,0,0,3,14,17,0,0,0,0,0
All India,Government Aided,SS (I-X),,,0,0,0,0,0,0,0,12,8,5,13,17,21,38,4,7,1,0,10,20,20,3,2,0,0,4,2,6,0,0,0,0,0
All India,Government Aided,SS (IX-X),Below Secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
All India,Government Aided,SS (IX-X),Below Secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Below Secondary,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,8,9,0,0,0,0,0
All India,Government Aided,SS (IX-X),Below Secondary,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,2,9,11,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,3169,0,0,1043,3169,4212,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3898,12053,0,0,3898,12053,15951,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,256,0,0,73,256,329,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,526,0,0,196,526,722,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,297,0,0,92,297,389,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758,4139,0,0,1758,4139,5897,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,1174,0,0,251,1174,1425,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,145,0,0,48,145,193,0,0,0,0,0
All India,Government Aided,SS (IX-X),Graduate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,75,0,0,60,75,135,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,129,0,0,55,129,184,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,413,0,0,115,413,528,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,121,0,0,39,121,160,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,541,0,0,104,541,645,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,2,15,17,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,162,0,0,88,162,250,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,476,0,0,63,476,539,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,57,0,0,24,57,81,0,0,0,0,0
All India,Government Aided,SS (IX-X),Higher secondary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,9,13,22,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,0,0,34,64,98,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,3,25,28,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,6,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),M.Phil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Ph.D,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,6,11,17,0,0,0,0,0
All India,Government Aided,SS (IX-X),Ph.D,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,0,0,17,41,58,0,0,0,0,0
All India,Government Aided,SS (IX-X),Ph.D,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,6,18,24,0,0,0,0,0
All India,Government Aided,SS (IX-X),Ph.D,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0
All India,Government Aided,SS (IX-X),Ph.D,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post Doctoral,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post Doctoral,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,7,14,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post Doctoral,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post Doctoral,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post Doctoral,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,1319,0,0,612,1319,1931,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441,6652,0,0,3441,6652,10093,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,0,0,18,56,74,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,79,0,0,45,79,124,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,601,0,0,264,601,865,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,513,0,0,294,513,807,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,545,0,0,112,545,657,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43,0,0,17,43,60,0,0,0,0,0
All India,Government Aided,SS (IX-X),Post graduate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,24,22,46,0,0,0,0,0
All India,Government Aided,SS (IX-X),,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,0,0,11,32,43,0,0,0,0,0
All India,Government Aided,SS (IX-X),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,160,0,0,47,160,207,0,0,0,0,0
All India,Government Aided,SS (IX-X),,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,0,0,23,54,77,0,0,0,0,0
All India,Government Aided,SS (IX-X),,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,142,0,0,40,142,182,0,0,0,0,0
All India,Government Aided,SS (IX-X),,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,7,0,0,0,0,0
All India,Government Aided,SS (IX-X),,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,49,0,0,18,49,67,0,0,0,0,0
All India,Government Aided,SS (IX-X),,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,255,0,0,42,255,297,0,0,0,0,0
All India,Government Aided,SS (IX-X),,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,0,0,8,32,40,0,0,0,0,0
All India,Government Aided,SS (IX-X),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0
All India,Government Aided,SS (VI-X),Below Secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,18,10,58,35,116,12,7,0,0,30,17,47,0,0,0,0,0
All India,Government Aided,SS (VI-X),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,4,10,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),Below Secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,5,4,1,4,0,0,1,6,7,0,0,0,0,0
All India,Government Aided,SS (VI-X),Below Secondary,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,2,12,4,24,3,1,0,0,7,3,10,0,0,0,0,0
All India,Government Aided,SS (VI-X),Below Secondary,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,21,6,45,16,90,19,6,0,0,40,12,52,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,51,49,77,141,128,282,191,247,0,0,240,324,564,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1685,1101,2568,4979,4253,6080,8506,5238,11280,0,0,7806,16259,24065,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,24,38,43,58,86,40,88,0,0,64,126,190,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,154,119,132,395,286,790,132,185,0,0,251,317,568,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,49,71,84,90,168,84,171,0,0,133,242,375,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,179,183,439,317,618,634,237,663,0,0,420,1102,1522,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,87,157,331,237,418,474,272,845,0,0,429,1176,1605,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36,19,113,26,149,52,15,196,0,0,34,309,343,0,0,0,0,0
All India,Government Aided,SS (VI-X),Graduate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,33,21,30,66,63,132,26,26,0,0,47,56,103,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,7,12,39,24,78,13,18,0,0,20,30,50,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,81,55,43,245,124,490,45,79,0,0,100,122,222,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9,17,21,29,42,7,28,0,0,16,45,61,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,101,47,77,276,178,552,53,187,0,0,100,264,364,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,7,3,14,7,2,0,0,11,3,14,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,69,11,26,64,95,128,16,65,0,0,27,91,118,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,41,59,121,123,162,246,110,346,0,0,169,467,636,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,6,12,12,2,7,0,0,5,12,17,0,0,0,0,0
All India,Government Aided,SS (VI-X),Higher secondary,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,5,7,24,17,48,1,4,0,0,6,11,17,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,4,4,1,0,0,4,2,6,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,88,69,143,98,286,91,87,0,0,179,156,335,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,22,14,33,27,66,19,12,0,0,41,26,67,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,5,6,10,2,4,0,0,7,8,15,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,2,0,0,6,2,8,0,0,0,0,0
All India,Government Aided,SS (VI-X),M.Phil,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,0,0,2,2,4,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,25,17,33,34,31,46,0,0,46,71,117,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,2,1,0,0,2,2,4,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,2,2,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,8,8,16,5,15,0,0,8,19,27,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,2,0,0,0,3,3,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,2,0,0,0,3,3,0,0,0,0,0
All India,Government Aided,SS (VI-X),Ph.D,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post Doctoral,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,2,1,9,0,0,2,13,15,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post Doctoral,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post Doctoral,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post Doctoral,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,26,27,58,43,116,106,107,0,0,132,134,266,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,875,2447,3317,3904,4192,7808,4141,5511,0,0,6588,8828,15416,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,23,17,27,34,18,36,0,0,26,59,85,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,40,41,95,71,190,39,77,0,0,79,118,197,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,64,140,206,256,270,512,296,386,0,0,436,592,1028,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,44,100,65,143,130,107,294,0,0,151,394,545,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,45,127,213,155,258,310,167,532,0,0,294,745,1039,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,19,8,29,16,7,59,0,0,13,78,91,0,0,0,0,0
All India,Government Aided,SS (VI-X),Post graduate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,9,12,13,24,2,5,0,0,11,14,25,0,0,0,0,0
All India,Government Aided,SS (VI-X),,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,18,8,36,6,3,0,0,6,3,9,0,0,0,0,0
All India,Government Aided,SS (VI-X),,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,4,15,18,27,36,21,66,0,0,25,81,106,0,0,0,0,0
All India,Government Aided,SS (VI-X),,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,4,7,8,7,6,0,0,7,8,15,0,0,0,0,0
All India,Government Aided,SS (VI-X),,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,29,5,6,70,35,140,20,17,0,0,25,23,48,0,0,0,0,0
All India,Government Aided,SS (VI-X),,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,3,0,0,0,0,0
All India,Government Aided,SS (VI-X),,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,2,5,17,24,34,9,15,0,0,11,20,31,0,0,0,0,0
All India,Government Aided,SS (VI-X),,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,12,57,30,79,60,42,163,0,0,54,220,274,0,0,0,0,0
All India,Government Aided,SS (VI-X),,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,7,4,2,1,0,0,4,4,8,0,0,0,0,0
All India,Government Aided,SS (VI-X),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,2,6,4,1,1,0,0,2,1,3,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,4,2,1,4,5,6,11,2,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,B.Ed. or equivalent,0,0,0,0,0,0,0,14,4,40,9,54,13,67,72,23,0,0,112,32,224,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,Diploma/degree in special education,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,388,98,13,24,401,122,523,20,11,0,0,33,35,66,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,M.Ed. or equivalent,0,0,0,0,0,0,0,3,2,4,1,7,3,10,9,4,0,0,13,5,26,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,None,1,0,0,0,1,0,1,7,13,2,1,9,14,23,9,6,0,0,11,7,22,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,Others,1,0,0,0,1,0,1,33,19,42,11,75,30,105,76,28,0,0,118,39,236,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,Pursuing any relevant professional course,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Below Secondary,,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Graduate,Bachelor of Elementary Education (B.El.Ed.),9,0,1,0,10,0,10,514,228,112,167,627,395,1022,488,323,0,0,600,490,1200,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Graduate,B.Ed. or equivalent,34,5,16,11,50,16,66,2599,1114,905,779,3520,1904,5424,6063,3733,0,0,6968,4512,13936,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Graduate,Diploma/degree in special education,5,3,35,13,40,16,56,207,220,123,130,365,363,728,112,134,0,0,235,264,470,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Graduate,Diploma or certificate in basic teachers training of a duration not less than two years,195,4,14,6,209,10,219,6083,3938,1682,2220,7779,6164,13943,2130,2589,0,0,3812,4809,7624,0,0,0,0,0,0,0,0,0,0,0,0
All India,Government Aided,UPS (I-VIII),Graduate,M.Ed. or equivalent,1,0,0,0,1,0,1,39,18,18,11,57,29,86,104,80,0,0,122,91,244,0,0,0,0,0,0,0,0,0,0,0,0
